step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,41,1,0.4913203638392398,0.0,0.0,0.5558268487593523,0.0,0.0,,
2,74,2,0.5462497395875289,0.0,0.0,,,,,
3,115,3,0.3144604416337389,0.0,0.0,,,,,
4,156,4,0.14116676396556432,0.0,0.0,,,,,
5,197,5,0.0893842677421053,1.0,1.0,,,,,
6,230,6,0.05450133390666452,1.0,1.0,,,,,
7,271,7,0.025547158463916277,1.0,1.0,,,,,
8,312,8,0.18423294962187356,0.0,0.0,,,,,
9,353,9,0.11206687735521702,0.0,0.0,0.063812295900813,0.0,0.0,,
10,394,10,0.11951255832536845,0.0,0.0,,,,,
11,435,11,0.05520314351562411,1.0,1.0,,,,,
12,468,12,0.08339740762182375,0.0,0.0,,,,,
13,509,13,0.04948830260505201,0.0,0.0,,,,,
14,558,14,0.05620838094781598,0.0,0.0,,,,,
15,599,15,0.08139114317169881,0.0,0.0,,,,,
16,632,16,0.04797696653973617,1.0,1.0,,,,,
17,673,17,0.036724514711782834,1.0,1.0,0.07365991982573178,0.0,0.0,,
18,722,18,0.06945368660233119,0.0,0.0,,,,,
19,763,19,0.07066165644698777,0.0,0.0,,,,,
20,812,20,0.039295224324849394,0.0,0.0,,,,,
21,861,21,0.044167319797343216,0.0,0.0,,,,,
22,902,22,0.03499390565021895,1.0,1.0,,,,,
23,943,23,0.12299656843273443,0.0,0.0,,,,,
24,984,24,0.09797248026493616,0.0,0.0,,,,,
25,1017,25,0.07606717334943824,0.0,0.0,0.06254723411984742,0.0,0.0,,
26,1058,26,0.05282251552160597,0.0,0.0,,,,,
27,1099,27,0.05366544746085129,0.0,0.0,,,,,
28,1140,28,0.05285031645436539,0.0,0.0,,,,,
29,1181,29,0.07190774376022456,0.0,0.0,,,,,
30,1230,30,0.05671760977808541,0.0,0.0,,,,,
31,1271,31,0.04958604501729133,0.0,0.0,,,,,
32,1312,32,0.04317972548230318,1.0,1.0,,,,,
33,1345,33,0.061270696737910836,0.0,0.0,0.045664936717192184,0.0,0.0,,
34,1378,34,0.06648059853192535,0.0,0.0,,,,,
35,1419,35,0.054272818660945625,0.0,0.0,,,,,
36,1452,36,0.055219866934057796,1.0,1.0,,,,,
37,1493,37,0.04923442097159569,0.0,0.0,,,,,
38,1534,38,0.05718432504992234,0.0,0.0,,,,,
39,1575,39,0.032656625328541855,1.0,1.0,,,,,
40,1616,40,0.031217284793325237,1.0,1.0,,,,,
41,1657,41,0.056945716644520875,0.0,0.0,0.09092003293300514,0.0,0.0,,
42,1698,42,0.08549928866373376,0.0,0.0,,,,,
43,1731,43,0.09644338941536261,0.0,0.0,,,,,
44,1772,44,0.05854898361486266,0.0,0.0,,,,,
45,1805,45,0.056335789448858115,0.0,0.0,,,,,
46,1846,46,0.052605598453548744,0.0,0.0,,,,,
47,1887,47,0.03612385196372634,1.0,1.0,,,,,
48,1920,48,0.06052737554506166,0.0,0.0,,,,,
49,1969,49,0.029544722346163323,1.0,1.0,0.06281079580605729,0.0,0.0,,
50,2010,50,0.05559741978021339,0.0,0.0,,,,,
51,2051,51,0.056125522875572646,0.0,0.0,,,,,
52,2092,52,0.03719232133461628,1.0,1.0,,,,,
53,2133,53,0.04808091949811206,0.0,0.0,,,,,
54,2166,54,0.04007360950003204,1.0,1.0,,,,,
55,2215,55,0.044823645860366614,0.0,0.0,,,,,
56,2248,56,0.06714811314161125,0.0,0.0,,,,,
57,2281,57,0.06343413171271095,0.0,0.0,0.050182492983614796,0.0,0.0,,
58,2330,58,0.04071914465443115,0.0,0.0,,,,,
59,2379,59,0.04055926057155981,0.0,0.0,,,,,
60,2420,60,0.038804847936291485,1.0,1.0,,,,,
61,2453,61,0.044593933571159136,1.0,1.0,,,,,
62,2502,62,0.056965787412968885,0.0,0.0,,,,,
63,2551,63,0.047544433621951605,0.0,0.0,,,,,
64,2584,64,0.03308546960124659,1.0,1.0,,,,,
65,2625,65,0.08635935311589857,0.0,0.0,0.02509087626414839,1.0,1.0,,
66,2658,66,0.031248539098960464,1.0,1.0,,,,,
67,2699,67,0.051375002005253925,0.0,0.0,,,,,
68,2740,68,0.04762903516489314,0.0,0.0,,,,,
69,2781,69,0.04166673841665761,0.0,0.0,,,,,
70,2822,70,0.03565668630378787,1.0,1.0,,,,,
71,2863,71,0.03316593740409007,1.0,1.0,,,,,
72,2904,72,0.07104523033014265,0.0,0.0,,,,,
73,2945,73,0.05899981347336143,0.0,0.0,0.050892036392702726,0.0,0.0,,
74,2978,74,0.07567781192803523,0.0,0.0,,,,,
75,3011,75,0.061060313354246325,0.0,0.0,,,,,
76,3060,76,0.03610503648480517,1.0,1.0,,,,,
77,3093,77,0.06169716665945089,0.0,0.0,,,,,
78,3134,78,0.04683573445508955,0.0,0.0,,,,,
79,3175,79,0.04077246748542529,0.0,0.0,,,,,
80,3216,80,0.048515820862208785,0.0,0.0,,,,,
81,3257,81,0.04197770448146002,0.0,0.0,0.05006343275960534,0.0,0.0,,
82,3306,82,0.03837626291865187,0.0,0.0,,,,,
83,3347,83,0.03229358842901638,1.0,1.0,,,,,
84,3388,84,0.05593346620630473,0.0,0.0,,,,,
85,3429,85,0.04786938287666999,0.0,0.0,,,,,
86,3478,86,0.04104252611963602,0.0,0.0,,,,,
87,3519,87,0.047626217790268134,0.0,0.0,,,,,
88,3560,88,0.04169845005092248,0.0,0.0,,,,,
89,3601,89,0.039651295204661444,1.0,1.0,0.05140265935605566,0.0,0.0,,
90,3642,90,0.046736744176130746,0.0,0.0,,,,,
91,3683,91,0.0553924222511705,0.0,0.0,,,,,
92,3724,92,0.03954535973845487,1.0,1.0,,,,,
93,3765,93,0.04406080035575724,0.0,0.0,,,,,
94,3798,94,0.05514931488331058,0.0,0.0,,,,,
95,3847,95,0.031092349172613463,1.0,1.0,,,,,
96,3888,96,0.05152442349445781,0.0,0.0,,,,,
97,3929,97,0.03918669877658249,1.0,1.0,0.03505376734852325,0.0,0.0,,
98,3978,98,0.031560077759052854,1.0,1.0,,,,,
99,4019,99,0.03861125639994861,1.0,1.0,,,,,
100,4060,100,0.03298684583208524,0.0,0.0,,,,,
101,4101,101,0.03513766626071924,1.0,1.0,,,,,
102,4150,102,0.04082442783369818,0.0,0.0,,,,,
103,4191,103,0.029584102318855006,1.0,1.0,,,,,
104,4232,104,0.025720673655887368,1.0,1.0,,,,,
105,4281,105,0.02345921867060194,1.0,1.0,0.02289310571998309,1.0,1.0,,
106,4322,106,0.04094588835712057,0.0,0.0,,,,,
107,4355,107,0.06236919007586494,0.0,0.0,,,,,
108,4388,108,0.023386556895329702,1.0,1.0,,,,,
109,4429,109,0.01411797979695257,1.0,1.0,,,,,
110,4470,110,0.01643711538128264,1.0,1.0,,,,,
111,4503,111,0.10506405598703623,0.0,0.0,,,,,
112,4552,112,0.05467690608899526,0.0,0.0,,,,,
113,4593,113,0.027065138844074684,1.0,1.0,0.03476319119505934,1.0,1.0,,
114,4634,114,0.016134683673582915,1.0,1.0,,,,,
115,4667,115,0.07539242983082659,0.0,0.0,,,,,
116,4708,116,0.03975524704360578,1.0,1.0,,,,,
117,4749,117,0.03842453468937311,1.0,1.0,,,,,
118,4782,118,0.04805414196416677,1.0,1.0,,,,,
119,4815,119,0.04919972691117437,1.0,1.0,,,,,
120,4856,120,0.034146552206060735,1.0,1.0,,,,,
121,4897,121,0.017869994241395033,1.0,1.0,0.03550707485550084,1.0,1.0,,
122,4946,122,0.04716135268710787,0.0,0.0,,,,,
123,4987,123,0.056304902726929874,0.0,0.0,,,,,
124,5020,124,0.053000988885114564,0.0,0.0,,,,,
125,5061,125,0.033768445144873115,1.0,1.0,,,,,
126,5110,126,0.03133753855227647,1.0,1.0,,,,,
127,5159,127,0.031852403561545846,1.0,1.0,,,,,
128,5200,128,0.016411355158910738,1.0,1.0,,,,,
129,5241,129,0.05838432776491392,0.0,0.0,0.024395148553681797,1.0,1.0,,
130,5282,130,0.06375727585575079,0.0,0.0,,,,,
131,5331,131,0.015526674087365487,1.0,1.0,,,,,
132,5372,132,0.06705209486364037,0.0,0.0,,,,,
133,5421,133,0.01588681524279309,1.0,1.0,,,,,
134,5470,134,0.020660995091128218,1.0,1.0,,,,,
